"ResponseId","part.group","EndDate","Duration..in.seconds.","bnt1","bnt2","bnt3","bnt4","time.bnt_Page.Submit","mct.w","mct.w.pro_1","mct.w.pro_2","mct.w.pro_3","mct.w.pro_4","mct.w.pro_5","mct.w.pro_6","mct.w.con_1","mct.w.con_2","mct.w.con_3","mct.w.con_4","mct.w.con_5","mct.w.con_6","mct.d","mct.d.pro_1","mct.d.pro_2","mct.d.pro_3","mct.d.pro_4","mct.d.pro_5","mct.d.pro_6","mct.d.con_1","mct.d.con_2","mct.d.con_3","mct.d.con_4","mct.d.con_5","mct.d.con_6","time.mct_Page.Submit","treat.check","time.sec2_Page.Submit","fq1_1","fq2_1","fq3_1","fq4_1","fq5_1","fq6_1","fq7_1","fq8_1","fq9_1","fq10_1","fq11_1","fq12_1","fq13_1","fq14_1","fq15_1","fq16_1","fq17_1","fq18_1","fq19_1","fq20_1","fq21_1","fq22_1","fq23_1","fq24_1","selfassessment","exp","exp.sp","team","time","source","intu.anal","method","time.refl_Page.Submit","sex","year","edu","emp","CompletionCode","Group"
"R_06xz7PZIx6KSf5L","uni",2017-02-12,2719,30,25,20,50,1915.293,2,-3,1,-3,1,-3,-2,2,1,-1,2,2,1,-3,-4,-4,-4,-4,-4,-4,-1,1,3,1,-1,2,"339.465","",287.949,0.8,0.3,0.18,0.8,1,0.71,0.7,0.29,0.39,0.18,0.18,0.18,0.6,0.91,0.92,0.82,0.71,0.29,0.21,0.19,0.4,1,0.4,0.3,"Neither good nor bad","No, I never participated in any forecasting of events","None","Individually","10-30 min","News","Mostly intuition, some analysis","I just relied on news and my own interpretation of current events.","107.914","Female","1993","Bachelor's degree","    A student","96920025","Control"
"R_0vL5RVjcJ34EQzD","other",2017-02-06,1165,25,25,20,50,203.837,-1,2,1,1,1,-1,2,2,-1,1,2,1,0,1,2,1,-2,-2,-1,1,1,-2,1,2,-1,2,"321.949","",484.458,0.75,0.1,0.38,0.06,0.32,0.62,0.7,0.31,0.12,0.44,0.25,0.6,0.2,0.24,0.6,0.8,0.6,0.2,0.11,0.82,0.82,0.94,0.19,0.67,"Slightly good","No, I never participated in any forecasting of events","Yes, more than two years","Individually","10-30 min","None","Mostly intuition, some analysis","No specific method","98.841","Female","1989","Master's degree","    Employed for wages","12282791","Control"
"R_10IqYsrJwIWy9n5","mturk",2017-02-09,3165,30,25,35,56,2639.862,0,1,1,2,0,3,3,-3,1,-1,1,1,1,-1,1,2,1,2,1,-2,-1,1,0,2,-2,-1,"223.128","",148.71,0.7,0.61,0.32,0.44,0.81,0.62,0.59,0.34,0.7,0.27,0.44,0.6,0.24,0.42,0.32,0.13,0.65,0.54,0.35,0.57,0.62,0.42,0.26,0.3,"Moderately good","Yes, I sometimes forecast events","None","Individually","Less than 10 min","News,Online databases / statistics","Mostly intuition, some analysis","mostly intuition and some by googling.","59.514","Male","1992","Bachelor's degree","    Employed for wages","39279995","Control"
"R_10opzlQwowaxMdw","mturk",2017-02-06,552,25,20,10,25,80.955,1,1,3,1,1,2,0,0,1,-2,0,3,0,-2,-3,0,-1,-1,-2,0,0,-1,0,2,2,0,"180.931","Yes",129.486,0.75,0.51,0.25,0.51,0.38,0.37,0.35,0.51,0.47,0.3,0.65,0.38,0.11,0.46,0.34,0.49,0.1,0.31,0.24,0.52,0.13,0.17,0.45,0.26,"Slightly good","No, I never participated in any forecasting of events","None","Individually","30 min to 1 hour","Reports of non-government organizations,Reports of governments and/or international organizations","Mostly intuition, some analysis","I mostly used my intuition with the knowledge I currently know.","107.672","Male","1990","Bachelor's degree","    Employed for wages","30653053","Treatment"
"R_114rOHpXjfamATW","other",2017-02-06,1409,30,25,23,NA,516.025,-1,1,1,NA,3,-1,1,2,-1,-3,3,NA,-1,2,2,0,-2,NA,1,1,-1,-1,1,-1,-2,2,"251.783","",550.545,0.1,0.3,0.1,0,0.75,0.4,0.25,0.1,0.2,0.8,0.05,0.7,0.6,0.4,0.9,0.75,0.2,0.4,0.15,0,0.6,0.4,0.3,0.3,"Moderately good","No, I never participated in any forecasting of events","Yes, between six months and two years","Individually","10-30 min","News,Academic papers,Reports of non-government organizations,Reports of governments and/or international organizations","Mostly intuition, some analysis","","54.759","Male","1984","Master's degree","    Employed for wages","92207340","Control"
"R_114sPlUjbBo3XPm","mturk",2017-02-07,638,30,33,30,24,121.527,1,-2,3,2,3,3,3,-2,-1,-3,-2,-3,-2,3,4,3,2,4,2,3,-2,-3,-2,-4,-2,-3,"139.723","",138.938,0.86,0.94,0.11,0.12,0.95,0.84,0.83,0.12,0.86,0.1,0.84,0.92,0.92,0.92,0.93,0.88,0.88,0.21,0,0.27,0.77,1,0.9,0.79,"Slightly good","No, I never participated in any forecasting of events","None","Individually","Less than 10 min","News,Online databases / statistics","Mostly intuition, some analysis","No, Just intuition and memory of current events. ","53.886","Male","1989","Bachelor's degree","    Employed for wages","98257519","Control"
"R_11hDVGLP1zia4yO","mturk",2017-02-07,827,32,30,30,2,97.989,-1,2,2,-3,-1,3,4,3,2,-2,4,-1,-2,3,-2,4,-3,-1,3,-3,-3,4,2,1,-4,2,"247.574","Yes",289.427,0.3,0.05,0.1,0.3,0.6,0.8,0.8,0.01,0.3,0.3,0.4,0.75,0.85,0.25,0.03,0.02,0.07,0.25,0.06,0.6,0.1,0.9,0.2,0.15,"Moderately bad","No, I never participated in any forecasting of events","None","Individually","10-30 min","News,Social media","Mostly intuition, some analysis","I didn't really have a specific method. I took each question separately and I looked up how much talk and results showed up in searches for anything regarding the different groups and actions and then used a guess as to how likely another such event would happen by the date given.","118.079","Female","1973","Bachelor's degree","    Self-employed","7120573","Treatment"
"R_12ce30GqfzWciAv","uni",2017-02-15,6274,NA,NA,NA,NA,2118.546,2,-1,3,4,3,-1,2,-1,1,1,-1,2,-2,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,"133.654","Yes",3899.131,0.7,0.19,0.82,0.08,0.2,0,0.61,0.3,0.4,0.71,0.29,0.81,0.3,0.19,0.61,0.41,0.29,0.29,0.73,0.4,0.82,0.09,0.08,0.18,"Neither good nor bad","No, I never participated in any forecasting of events","None","Individually","Less than 10 min","None","Only intuition","","70.182","Male","1987","Bachelor's degree","    Employed for wages","93693343","Treatment"
"R_12eVi93OhYwU9AR","uni",2017-02-11,2174,30,25,23,4,719.224,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,1,-1,0,0,1,-2,-2,1,0,-1,1,-1,0,-1,0,"432.018","Yes",929.412,0.65,0.57,0.3,0.64,0.37,0.74,0.7,0.67,0.29,0.71,0.38,0.31,0.36,0.37,0.38,0.31,0.6,0.31,0.35,0.58,0.45,0.62,0.36,0.27,"Slightly bad","No, I never participated in any forecasting of events","None","Individually","10-30 min","News","Mostly intuition, some analysis","I used the method from the suggested tip","67.68","Female","1994","Bachelor's degree","    A student","20899785","Treatment"
"R_1CD8pE5rFRZfJNV","mturk",2017-02-06,2761,30,25,20,50,384.791,3,2,2,2,3,3,2,2,2,0,1,2,2,-2,-3,-3,-3,NA,NA,-3,-2,-2,-3,-2,-1,-1,"2155.252","",129.334,0.82,0.68,0.39,0.28,0.4,0.22,0.39,0.43,0.14,0.63,0.59,0.45,0.59,0.69,0.46,0.63,0.7,0.55,0.71,0.39,0.92,0.6,0.37,0.61,"Neither good nor bad","No, I never participated in any forecasting of events","None","With one other person","30 min to 1 hour","None","Only intuition","I tried to think of it in reguards to all the news that Ive been seeing over the last month.","65.803","Female","1985","Bachelor's degree","    Employed for wages","20888556","Control"
